,artist_id,artists_name,track_id,song_name,album_name,album_type,release_date,popularity,danceability,energy,key,loudness,instrumentalness,liveness,acousticness,tempo,mode,valence,duration_ms,time_signatures
225,6VuMaDnrHyPL1p4EHjYLi7,Charlie Puth,0I3FXz5RssOlMNI0FmPAkc,There’s A First Time For Everything,CHARLIE,album,2022-10-07,54,0.551,0.737,1,-5.573,2.74e-06,0.21,0.466,197.997,1,0.611,136770,4
226,6VuMaDnrHyPL1p4EHjYLi7,Charlie Puth,1tGq9MNEmWGevwtiBCdrbk,Left and Right (Feat. Jung Kook of BTS),CHARLIE,album,2022-10-07,59,0.881,0.592,2,-4.898,1.32e-05,0.0901,0.619,101.058,1,0.719,154487,4
227,3PhoLpVuITZKcymswpck5b,Elton John,4A9g0WVvFYjJftYWWXXxP7,After All,The Lockdown Sessions,album,2021-10-22,44,0.501,0.556,5,-5.628,0.000133,0.115,0.361,82.017,1,0.165,208715,4
228,6VuMaDnrHyPL1p4EHjYLi7,Charlie Puth,1UNs8AlFM8c0uAkSyjIW3P,Girlfriend,Girlfriend,single,2020-06-23,57,0.758,0.583,1,-6.361,5.12e-05,0.107,0.18,97.537,1,0.797,177438,4
229,6VuMaDnrHyPL1p4EHjYLi7,Charlie Puth,1PuQTv1Kr1gzLgVeATSuh6,Somebody Told Me,Voicenotes,album,2018-05-11,50,0.592,0.839,1,-4.944,0.0,0.0528,0.101,168.501,0,0.457,216053,4
230,6VuMaDnrHyPL1p4EHjYLi7,Charlie Puth,6o4LOloYJc8yu0CdvOvifU,Hard On Yourself,Hard On Yourself,single,2020-08-14,59,0.824,0.783,1,-4.53,0.0,0.234,0.22,114.028,0,0.788,160825,4
231,6VuMaDnrHyPL1p4EHjYLi7,Charlie Puth,0DbVHIAldoWzrImJU9WN5y,Dangerously,Nine Track Mind (Deluxe Edition),album,2016-11-11,30,0.696,0.517,2,-8.379,0.0,0.197,0.364,112.291,0,0.23,199133,3
232,6VuMaDnrHyPL1p4EHjYLi7,Charlie Puth,3UhLNLeoDTeYozCENkoFTe,That's Hilarious,That's Hilarious,single,2022-04-07,43,0.707,0.447,6,-5.833,0.0,0.112,0.71,108.08,1,0.53,146855,4
233,6VuMaDnrHyPL1p4EHjYLi7,Charlie Puth,4jgF1sLf3TkQbZkLHsc6SI,Through It All,Voicenotes,album,2018-05-11,47,0.562,0.383,4,-8.54,0.0,0.0775,0.762,119.113,1,0.225,206453,3
234,6VuMaDnrHyPL1p4EHjYLi7,Charlie Puth,6RhEbk4odKK0PwPhpok7h1,Left and Right (Feat. Jung Kook of BTS),Left and Right (Feat. Jung Kook of BTS),single,2022-08-19,57,0.881,0.592,2,-4.898,1.32e-05,0.0901,0.619,101.058,1,0.719,154487,4
